,转债代码,转债名称,正股代码,正股名称,现价,涨跌幅,成交额,换手率,近5日涨跌幅,近20日涨跌幅,近3月涨跌幅,近1年涨跌幅,剩余规模（亿元）,转股价值,溢价率,正股价格,正股涨跌幅,正股成交额,正股波动率,双低指标,纯债价值,转债/正股流通市值比,自选标记,更新时间,上市日期,发行规模（亿元）,债券评级,到期日期,剩余年限,转股价,回售触发价,强赎触发价,距离转股开始天数,转股开始日期,下修条件,下修次数,下修成功次数,强赎标记,确定强赎日期,确定强赎价格,强赎天数统计
0,110038,济川转债,1600566,济川药业,122.953,-0.04,799.98,1.03,-1.15,-7.73,-2.23,10.85,6.3,101.72,20.87,23.11,0.22,1774.2,51.41,143.82,105.61,3.1,0,09:49:59,2017-11-29,8.43,AA,22-11-12,0.197,22.72,11.36,28.4,0,2018-05-17,10/30  80%,1,1,,,,0/15 | 30
1,110043,无锡转债,1600908,无锡银行,122.582,0.01,483.94,0.14,-1.08,2.12,5.45,4.83,29.213,109.58,11.87,5.95,0.68,1815.05,25.39,134.45,103.81,27.8,0,09:49:54,2018-03-14,30.0,AA+,24-01-30,1.414,5.43,,7.06,0,2018-08-05,15/30  80%,2,2,,,,0/15 | 30
2,110044,广电转债,1600831,广电网络,204.1,-1.88,3923.37,26.76,1.76,-6.63,-13.81,-9.37,0.707,84.65,141.11,5.79,-0.34,1535.21,42.8,345.21,104.69,1.7,0,09:50:01,2018-07-24,8.0,AA,24-06-27,1.822,6.84,4.79,8.89,0,2019-01-03,10/20  90%,0,0,,,,0/15 | 30
3,110045,海澜转债,1600398,海澜之家,108.6,0.03,84.87,0.03,-0.16,-0.99,1.0,-9.69,29.498,68.91,57.6,4.5,0.22,820.5,23.29,166.2,104.38,15.2,0,09:49:57,2018-07-31,30.0,AA+,24-07-13,1.866,6.53,4.57,8.49,0,2019-01-19,15/30  85%,1,1,,,,0/15 | 30
4,110047,山鹰转债,1600567,山鹰国际,112.41,-0.04,85.23,0.03,-0.59,-1.29,-0.5,-6.34,22.455,82.45,36.34,2.63,0.0,579.77,24.29,148.75,110.08,18.5,0,09:49:59,2018-12-10,23.0,AA+,24-11-21,2.225,3.19,2.23,4.15,0,2019-05-27,15/30  80%,0,0,,,,0/15 | 30
5,110048,福能转债,1600483,福能股份,178.938,-0.21,786.19,0.35,-7.7,-3.66,-4.62,-0.83,12.76,153.8,16.34,11.75,-0.25,2182.94,61.47,195.28,106.0,6.2,0,09:50:00,2018-12-28,28.3,AA+,24-12-06,2.266,7.64,5.35,9.93,0,2019-06-13,15/30  90%,0,0,G,,,0/15 | 30
6,110052,贵广转债,1600996,贵广网络,137.743,-0.76,21791.86,21.12,5.54,2.08,19.45,32.69,7.493,138.16,-0.3,10.97,-1.7,22239.13,72.91,137.44,109.28,6.4,1,09:49:59,2019-03-29,16.0,AA+,25-03-05,2.51,7.94,5.56,10.32,0,2019-09-11,10/20  90%,0,0,,,,13/15 | 30
7,110053,苏银转债,1600919,江苏银行,126.26,-0.03,3513.18,0.14,0.41,1.23,4.17,4.95,199.992,120.94,4.4,7.22,-0.41,8583.1,29.73,130.66,109.83,18.9,0,09:49:59,2019-04-03,200.0,AAA,25-03-13,2.532,5.97,,7.76,0,2019-09-20,15/30  80%,0,0,,,,0/15 | 30
8,110055,伊力转债,1600197,伊力特,188.7,-0.17,1818.99,3.95,-9.37,-13.41,-3.64,7.11,2.435,152.13,24.04,24.34,-1.06,4212.65,46.45,212.74,105.55,2.1,0,09:50:01,2019-04-04,8.76,AA,25-03-15,2.537,16.0,11.2,20.8,0,2019-09-23,15/30  80%,0,0,G,,,0/15 | 30
9,110056,亨通转债,1600487,亨通光电,142.094,4.16,21963.51,9.07,2.11,2.36,16.36,27.1,17.101,121.17,17.27,18.03,7.13,60061.66,47.12,159.36,105.98,4.0,0,09:50:00,2019-04-16,17.33,AA+,25-03-19,2.548,14.88,10.42,19.34,0,2019-09-26,15/30  85%,1,1,,,,0/15 | 30
10,110057,现代转债,1600420,国药现代,116.932,0.34,337.9,0.18,-1.31,-1.67,2.23,1.68,16.155,92.16,26.88,8.93,0.34,445.36,37.75,143.81,102.59,17.6,0,09:49:17,2019-04-30,16.16,AAA,25-03-31,2.581,9.69,6.78,12.6,0,2019-10-08,15/30  80%,0,0,,,,0/15 | 30
11,110058,永鼎转债,1600105,永鼎股份,116.445,0.01,100.74,0.33,-2.21,-3.7,4.02,7.3,2.61,74.6,56.09,3.76,0.27,1233.46,47.41,172.54,99.26,5.0,0,09:49:22,2019-05-08,9.8,AA-,25-04-15,2.622,5.04,3.53,6.55,0,2019-10-22,15/30  85%,1,1,,,,0/15 | 30
12,110059,浦发转债,1600000,浦发银行,107.405,-0.14,1211.99,0.02,-0.11,0.19,1.22,3.27,499.986,53.39,101.17,7.24,-0.41,3832.68,14.52,208.58,107.84,23.5,0,09:49:54,2019-11-15,500.0,AAA,25-10-27,3.156,13.56,,17.63,0,2020-05-06,15/30  80%,0,0,,,,0/15 | 30
13,110060,天路转债,1600326,西藏天路,119.095,0.59,179.06,0.21,-1.81,-0.84,4.64,1.57,7.062,96.13,23.89,5.21,0.97,523.94,31.99,142.99,104.23,14.8,0,09:49:49,2019-11-28,10.87,AA,25-10-27,3.156,5.42,3.79,7.05,0,2020-05-06,15/30  85%,2,1,,,,0/15 | 30
14,110061,川投转债,1600674,川投能源,149.783,0.71,5114.98,0.89,-4.41,-0.22,6.52,10.61,38.299,150.34,-0.37,13.23,0.3,3884.58,34.7,149.41,101.65,6.6,0,09:50:00,2019-12-02,40.0,AAA,25-11-10,3.195,8.8,6.16,11.44,0,2020-05-15,10/20  85%,0,0,G,,,0/15 | 30
15,110062,烽火转债,1600498,烽火通信,108.234,-0.03,57.77,0.02,0.22,-1.82,-0.58,-2.58,30.873,63.77,69.73,14.52,0.9,1153.36,27.99,177.96,101.43,18.8,0,09:49:49,2019-12-25,30.88,AAA,25-12-01,3.252,22.77,15.94,29.6,0,2020-06-08,15/30  80%,1,1,,,,0/15 | 30
16,110063,鹰19转债,1600567,山鹰国际,111.952,0.08,56.63,0.03,-0.97,-1.55,-0.56,-7.52,18.092,83.49,34.09,2.63,0.0,579.77,24.29,146.04,105.38,14.9,0,09:49:58,2020-01-03,18.6,AA+,25-12-12,3.282,3.15,2.21,4.1,0,2020-06-19,15/30  80%,0,0,,,,0/15 | 30
